Marka;Model;Yıl;Kilometre;Kasa_tipi;Motor_gücü;Çekiş;Renk;Fiyat
Opel;Mokka-e;2023;17.000;Crossover;136;Önden Çekiş;Mavi;1.249.000
TOGG;T10X;2023;12.543;Crossover;218;Arkadan İtiş;Gri;1.660.000
Nissan;Qashqai;2023;16.500;Crossover;190;Önden Çekiş;Beyaz;1.830.000
Kia;Stonic;2021;18.000;Crossover;100;Önden Çekiş;Gri;1.000.000
Volkswagen;T-Roc;2023;34.500;Crossover;150;Önden Çekiş;Mavi;1.765.000
Jeep;Renegade;2017;102.500;Crossover;120;Önden Çekiş;Siyah;1.080.000
Dacia;Duster;2018;130.000;Crossover;110;Önden Çekiş;Kahverengi;1.070.000
Kia;Sportage;2013;35.000;Crossover;135;Önden Çekiş;Beyaz;1.050.000
Hyundai;Tucson;2024;15.000;Crossover;136;4WD (Sürekli);Mavi (metalik);2.300.000
Hyundai;Bayon;2022;33.000;Crossover;100;Önden Çekiş;Kırmızı;1.200.000
Hyundai;Tucson;2019;111.000;Crossover;136;Önden Çekiş;Gri (metalik);1.505.000
MG;HS;2023;6.001;Crossover;162;Önden Çekiş;Siyah;1.485.000
Nissan;Qashqai;2018;143.000;Crossover;110;Önden Çekiş;Beyaz;1.250.000
Cupra;Formentor;2022;27.000;Crossover;150;Önden Çekiş;Siyah;1.900.000
Mitsubishi;Eclipse Cross;2020;65.000;Crossover;163;Önden Çekiş;Kahverengi;1.175.000
Chery;Tiggo 7 Pro;2023;13.750;Crossover;185;Önden Çekiş;Füme;1.475.000
Land Rover;Freelander;2006;202.000;Crossover;112;4WD (Sürekli);Yeşil;700.000
Peugeot;3008;2020;63.000;Crossover;132;Önden Çekiş;Diğer;1.660.000
Nissan;Qashqai;2018;100.000;Crossover;115;Önden Çekiş;Kırmızı;1.100.000
Fiat;Egea Cross;2023;24.550;Crossover;95;Önden Çekiş;Mavi (metalik);805.000
Citroen;C5 Aircross;2020;87.000;Crossover;180;Önden Çekiş;Beyaz;1.460.000
Kia;Stonic;2022;47.500;Crossover;100;Önden Çekiş;Gri;1.150.000
Skoda;Kodiaq;2020;52.580;Crossover;150;Önden Çekiş;Mavi (metalik);1.855.000
Nissan;Qashqai;2018;175.200;Crossover;110;Önden Çekiş;Mavi;1.100.000
Kia;Stonic;2022;36.000;Crossover;100;Önden Çekiş;Gri;1.125.000
Citroen;C3 Aircross;2022;29.000;Crossover;130;Önden Çekiş;Beyaz;1.135.000
Peugeot;3008;2020;21.000;Crossover;132;Önden Çekiş;Beyaz;1.560.000
